exp_no,pi1_parent,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2559,root,,7,Tue 18 Feb 10:01:26 EST 2020,6,Tue 18 Feb 10:01:32 EST 2020,1,Tue 18 Feb 10:01:27 EST 2020,8,Tue 18 Feb 10:01:37 EST 2020,1,Tue 18 Feb 10:00:54 EST 2020,1,Tue 18 Feb 10:00:32 EST 2020,1,Tue 18 Feb 10:01:14 EST 2020,7,Tue 18 Feb 10:01:40 EST 2020,6,Tue 18 Feb 10:01:20 EST 2020
2560,root,,5,Tue 18 Feb 08:58:13 EST 2020,1,Tue 18 Feb 10:03:45 EST 2020,1,Tue 18 Feb 10:04:20 EST 2020,10,Tue 18 Feb 10:03:46 EST 2020,7,Tue 18 Feb 10:04:15 EST 2020,3,Tue Feb 18 15:03:56 UTC 2020,1,Tue 18 Feb 10:04:08 EST 2020,10,Tue 18 Feb 10:04:04 EST 2020,1,Tue 18 Feb 10:03:32 EST 2020
2561,root,,1,Tue 18 Feb 10:06:06 EST 2020,8,Tue 18 Feb 10:06:39 EST 2020,6,Tue 18 Feb 10:06:34 EST 2020,2,Tue 18 Feb 2020 10:06:50 AM EST,2,Tue 18 Feb 2020 10:06:23 AM EST,10,Tue 18 Feb 10:06:46 EST 2020,1,Tue 18 Feb 10:06:25 EST 2020,3,Tue Feb 18 15:06:53 UTC 2020,2,Tue 18 Feb 2020 10:06:37 AM EST
2562,root,,10,Tue 18 Feb 10:08:49 EST 2020,1,Tue 18 Feb 10:08:48 EST 2020,5,Tue 18 Feb 09:03:17 EST 2020,1,Tue 18 Feb 10:09:01 EST 2020,10,Tue 18 Feb 10:09:28 EST 2020,1,Tue 18 Feb 10:09:18 EST 2020,2,Tue 18 Feb 2020 10:09:20 AM EST,3,Tue Feb 18 15:09:08 UTC 2020,1,Tue 18 Feb 10:08:36 EST 2020
2563,root,,1,Tue 18 Feb 10:11:08 EST 2020,7,Tue 18 Feb 10:12:03 EST 2020,1,Tue 18 Feb 10:11:38 EST 2020,4,Tue 18 Feb 10:12:12 EST 2020,9,Tue 18 Feb 10:12:29 EST 2020,2,Tue 18 Feb 2020 10:11:34 AM EST,1,Tue 18 Feb 10:11:25 EST 2020,2,Tue 18 Feb 2020 10:11:48 AM EST,4,Tue 18 Feb 10:11:58 EST 2020
2564,root,,3,Tue Feb 18 15:15:05 UTC 2020,1,Tue 18 Feb 10:14:41 EST 2020,5,Tue 18 Feb 09:09:21 EST 2020,10,Tue 18 Feb 10:14:43 EST 2020,10,Tue 18 Feb 10:14:56 EST 2020,3,Tue Feb 18 15:14:51 UTC 2020,1,Tue 18 Feb 10:15:22 EST 2020,5,Tue 18 Feb 09:09:07 EST 2020,1,Tue 18 Feb 10:14:28 EST 2020
2565,root,,6,Tue 18 Feb 10:17:57 EST 2020,6,Tue 18 Feb 10:18:43 EST 2020,9,Tue 18 Feb 10:18:18 EST 2020,9,Tue 18 Feb 10:18:44 EST 2020,1,Tue 18 Feb 10:17:18 EST 2020,1,Tue 18 Feb 10:18:01 EST 2020,2,Tue 18 Feb 2020 10:18:14 AM EST,1,Tue 18 Feb 10:17:39 EST 2020,9,Tue 18 Feb 10:18:31 EST 2020
2566,root,,8,Tue 18 Feb 10:21:08 EST 2020,4,Tue 18 Feb 10:21:46 EST 2020,6,Tue 18 Feb 10:21:04 EST 2020,7,Tue 18 Feb 10:21:54 EST 2020,7,Tue 18 Feb 10:20:43 EST 2020,1,Tue 18 Feb 10:20:34 EST 2020,1,Tue 18 Feb 10:20:53 EST 2020,1,Tue 18 Feb 10:21:18 EST 2020,2,Tue 18 Feb 2020 10:21:43 AM EST
2567,root,,4,Tue 18 Feb 10:25:08 EST 2020,1,Tue 18 Feb 10:24:50 EST 2020,1,Tue 18 Feb 10:24:19 EST 2020,1,Tue 18 Feb 10:25:03 EST 2020,4,Tue 18 Feb 10:24:34 EST 2020,8,Tue 18 Feb 10:24:55 EST 2020,1,Tue 18 Feb 10:24:06 EST 2020,8,Tue 18 Feb 10:25:29 EST 2020,1,Tue 18 Feb 10:24:38 EST 2020
2568,root,,10,Tue 18 Feb 10:28:20 EST 2020,7,Tue 18 Feb 10:28:02 EST 2020,10,Tue 18 Feb 10:28:00 EST 2020,1,Tue 18 Feb 10:28:13 EST 2020,3,Tue Feb 18 15:28:31 UTC 2020,1,Tue 18 Feb 10:27:24 EST 2020,1,Tue 18 Feb 10:27:59 EST 2020,1,Tue 18 Feb 10:27:43 EST 2020,7,Tue 18 Feb 10:27:49 EST 2020
