pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2921,root,,4,Thu 20 Feb 11:27:33 EST 2020,1,Thu 20 Feb 11:27:55 EST 2020,9,Thu 20 Feb 11:27:16 EST 2020,9,Thu 20 Feb 11:27:59 EST 2020,7,Thu 20 Feb 11:27:40 EST 2020,1,Thu 20 Feb 11:27:06 EST 2020,9,Thu 20 Feb 11:27:04 EST 2020,1,Thu 20 Feb 11:26:28 EST 2020,1,Thu 20 Feb 11:27:43 EST 2020
2947,root,,4,Thu 20 Feb 12:45:45 EST 2020,4,Thu 20 Feb 12:46:36 EST 2020,1,Thu 20 Feb 12:45:32 EST 2020,8,Thu 20 Feb 12:46:38 EST 2020,2,Thu 20 Feb 2020 12:45:58 PM EST,1,Thu 20 Feb 12:46:06 EST 2020,1,Thu 20 Feb 12:45:20 EST 2020,8,Thu 20 Feb 12:46:13 EST 2020,1,Thu 20 Feb 12:46:26 EST 2020
2942,root,,1,Thu 20 Feb 12:30:55 EST 2020,8,Thu 20 Feb 12:31:01 EST 2020,1,Thu 20 Feb 12:30:42 EST 2020,1,Thu 20 Feb 12:31:14 EST 2020,3,Thu Feb 20 17:31:12 UTC 2020,5,Thu 20 Feb 11:25:18 EST 2020,1,Thu 20 Feb 12:30:29 EST 2020,8,Thu 20 Feb 12:31:25 EST 2020,8,Thu 20 Feb 12:30:49 EST 2020
2940,root,,8,Thu 20 Feb 12:24:53 EST 2020,9,Thu 20 Feb 12:25:23 EST 2020,1,Thu 20 Feb 12:24:52 EST 2020,4,Thu 20 Feb 12:25:24 EST 2020,9,Thu 20 Feb 12:24:57 EST 2020,6,Thu 20 Feb 12:25:11 EST 2020,1,Thu 20 Feb 12:24:39 EST 2020,1,Thu 20 Feb 12:24:23 EST 2020,4,Thu 20 Feb 12:25:11 EST 2020
2937,root,,7,Thu 20 Feb 12:15:19 EST 2020,6,Thu 20 Feb 12:15:45 EST 2020,2,Thu 20 Feb 2020 12:15:46 PM EST,1,Thu 20 Feb 12:15:55 EST 2020,1,Thu 20 Feb 12:15:26 EST 2020,1,Thu 20 Feb 12:14:51 EST 2020,2,Thu 20 Feb 2020 12:15:34 PM EST,7,Thu 20 Feb 12:15:38 EST 2020,1,Thu 20 Feb 12:15:41 EST 2020
2922,root,,1,Thu 20 Feb 11:29:43 EST 2020,6,Thu 20 Feb 11:30:28 EST 2020,1,Thu 20 Feb 11:30:43 EST 2020,2,Thu 20 Feb 2020 11:30:38 AM EST,2,Thu 20 Feb 2020 11:30:12 AM EST,9,Thu 20 Feb 11:30:13 EST 2020,1,Thu 20 Feb 11:30:30 EST 2020,2,Thu 20 Feb 2020 11:29:52 AM EST,2,Thu 20 Feb 2020 11:30:25 AM EST
2927,root,,8,Thu 20 Feb 11:45:56 EST 2020,1,Thu 20 Feb 11:45:33 EST 2020,6,Thu 20 Feb 11:45:54 EST 2020,1,Thu 20 Feb 11:45:46 EST 2020,10,Thu 20 Feb 11:45:31 EST 2020,1,Thu 20 Feb 11:46:00 EST 2020,6,Thu 20 Feb 11:45:41 EST 2020,3,Thu Feb 20 16:45:46 UTC 2020,1,Thu 20 Feb 11:45:20 EST 2020
2948,root,,1,Thu 20 Feb 12:48:41 EST 2020,9,Thu 20 Feb 12:49:09 EST 2020,1,Thu 20 Feb 12:49:12 EST 2020,2,Thu 20 Feb 2020 12:49:10 PM EST,1,Thu 20 Feb 12:48:19 EST 2020,6,Thu 20 Feb 12:48:44 EST 2020,1,Thu 20 Feb 12:48:59 EST 2020,7,Thu 20 Feb 12:48:56 EST 2020,6,Thu 20 Feb 12:48:58 EST 2020
2936,root,,1,Thu 20 Feb 12:12:25 EST 2020,2,Thu 20 Feb 2020 12:12:54 PM EST,1,Thu 20 Feb 12:12:10 EST 2020,4,Thu 20 Feb 12:13:01 EST 2020,8,Thu 20 Feb 12:12:15 EST 2020,6,Thu 20 Feb 12:12:47 EST 2020,1,Thu 20 Feb 12:11:58 EST 2020,4,Thu 20 Feb 12:12:23 EST 2020,2,Thu 20 Feb 2020 12:12:41 PM EST
2952,root,,10,Thu 20 Feb 13:00:41 EST 2020,7,Thu 20 Feb 13:00:33 EST 2020,1,Thu 20 Feb 13:00:09 EST 2020,6,Thu 20 Feb 13:00:43 EST 2020,9,Thu 20 Feb 13:00:29 EST 2020,8,Thu 20 Feb 13:00:05 EST 2020,1,Thu 20 Feb 12:59:56 EST 2020,8,Thu 20 Feb 13:00:18 EST 2020,7,Thu 20 Feb 13:00:20 EST 2020
2939,root,,1,Thu 20 Feb 12:21:50 EST 2020,6,Thu 20 Feb 12:22:00 EST 2020,1,Thu 20 Feb 12:21:34 EST 2020,6,Thu 20 Feb 12:22:13 EST 2020,1,Thu 20 Feb 12:21:07 EST 2020,8,Thu 20 Feb 12:21:48 EST 2020,1,Thu 20 Feb 12:21:21 EST 2020,4,Thu 20 Feb 12:22:08 EST 2020,6,Thu 20 Feb 12:21:48 EST 2020
2925,root,,9,Thu 20 Feb 11:38:49 EST 2020,9,Thu 20 Feb 11:39:31 EST 2020,6,Thu 20 Feb 11:39:13 EST 2020,1,Thu 20 Feb 11:39:35 EST 2020,1,Thu 20 Feb 11:39:01 EST 2020,2,Thu 20 Feb 2020 11:39:35 AM EST,2,Thu 20 Feb 2020 11:39:03 AM EST,1,Thu 20 Feb 11:38:31 EST 2020,9,Thu 20 Feb 11:39:19 EST 2020
2950,root,,10,Thu 20 Feb 12:54:46 EST 2020,1,Thu 20 Feb 12:54:17 EST 2020,3,Thu Feb 20 17:54:45 UTC 2020,1,Thu 20 Feb 12:54:30 EST 2020,3,Thu Feb 20 17:54:32 UTC 2020,8,Thu 20 Feb 12:55:03 EST 2020,10,Thu 20 Feb 12:54:33 EST 2020,5,Thu 20 Feb 11:48:38 EST 2020,1,Thu 20 Feb 12:54:04 EST 2020
2919,root,,7,Thu 20 Feb 11:20:16 EST 2020,1,Thu 20 Feb 11:20:48 EST 2020,9,Thu 20 Feb 11:20:57 EST 2020,1,Thu 20 Feb 11:21:01 EST 2020,10,Thu 20 Feb 11:21:01 EST 2020,1,Thu 20 Feb 11:19:59 EST 2020,9,Thu 20 Feb 11:20:44 EST 2020,7,Thu 20 Feb 11:20:31 EST 2020,1,Thu 20 Feb 11:20:36 EST 2020
