pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3167,root,,4,Fri 21 Feb 15:34:31 EST 2020,9,Fri 21 Feb 15:34:45 EST 2020,1,Fri 21 Feb 15:34:09 EST 2020,2,Fri 21 Feb 2020 03:34:49 PM EST,8,Fri 21 Feb 15:34:32 EST 2020,1,Fri 21 Feb 15:35:00 EST 2020,1,Fri 21 Feb 15:33:56 EST 2020,8,Fri 21 Feb 15:34:17 EST 2020,6,Fri 21 Feb 15:34:43 EST 2020
3196,root,,1,Fri 21 Feb 16:59:38 EST 2020,2,Fri 21 Feb 2020 05:00:09 PM EST,8,Fri 21 Feb 17:00:45 EST 2020,10,Fri 21 Feb 17:00:18 EST 2020,2,Fri 21 Feb 2020 05:00:24 PM EST,1,Fri 21 Feb 17:00:18 EST 2020,1,Fri 21 Feb 17:00:32 EST 2020,3,Fri Feb 21 22:00:21 UTC 2020,2,Fri 21 Feb 2020 04:59:57 PM EST
3183,root,,10,Fri 21 Feb 16:21:47 EST 2020,10,Fri 21 Feb 16:21:21 EST 2020,7,Fri 21 Feb 16:21:35 EST 2020,1,Fri 21 Feb 16:21:23 EST 2020,1,Fri 21 Feb 16:20:52 EST 2020,6,Fri 21 Feb 16:21:06 EST 2020,7,Fri 21 Feb 16:21:22 EST 2020,6,Fri 21 Feb 16:21:32 EST 2020,1,Fri 21 Feb 16:21:10 EST 2020
3173,root,,9,Fri 21 Feb 15:52:31 EST 2020,1,Fri 21 Feb 15:52:58 EST 2020,9,Fri 21 Feb 15:53:12 EST 2020,1,Fri 21 Feb 15:53:10 EST 2020,3,Fri Feb 21 20:53:08 UTC 2020,1,Fri 21 Feb 15:52:09 EST 2020,9,Fri 21 Feb 15:52:59 EST 2020,7,Fri 21 Feb 15:52:20 EST 2020,1,Fri 21 Feb 15:52:45 EST 2020
3185,root,,10,Fri 21 Feb 16:26:51 EST 2020,1,Fri 21 Feb 16:26:22 EST 2020,10,Fri 21 Feb 16:26:37 EST 2020,1,Fri 21 Feb 16:26:34 EST 2020,4,Fri 21 Feb 16:26:52 EST 2020,5,Fri 21 Feb 15:20:36 EST 2020,10,Fri 21 Feb 16:26:25 EST 2020,1,Fri 21 Feb 16:26:53 EST 2020,1,Fri 21 Feb 16:26:09 EST 2020
3176,root,,1,Fri 21 Feb 16:01:37 EST 2020,7,Fri 21 Feb 16:02:15 EST 2020,6,Fri 21 Feb 16:01:42 EST 2020,9,Fri 21 Feb 16:02:23 EST 2020,1,Fri 21 Feb 16:01:19 EST 2020,6,Fri 21 Feb 16:02:00 EST 2020,6,Fri 21 Feb 16:01:29 EST 2020,2,Fri 21 Feb 2020 04:01:54 PM EST,9,Fri 21 Feb 16:02:10 EST 2020
3192,root,,6,Fri 21 Feb 16:48:35 EST 2020,7,Fri 21 Feb 16:48:54 EST 2020,9,Fri 21 Feb 16:48:19 EST 2020,6,Fri 21 Feb 16:49:00 EST 2020,9,Fri 21 Feb 16:47:53 EST 2020,6,Fri 21 Feb 16:48:20 EST 2020,1,Fri 21 Feb 16:48:09 EST 2020,1,Fri 21 Feb 16:47:44 EST 2020,9,Fri 21 Feb 16:48:49 EST 2020
3172,root,,1,Fri 21 Feb 15:49:05 EST 2020,2,Fri 21 Feb 2020 03:49:35 PM EST,6,Fri 21 Feb 15:49:51 EST 2020,10,Fri 21 Feb 15:49:38 EST 2020,1,Fri 21 Feb 15:49:28 EST 2020,10,Fri 21 Feb 15:49:58 EST 2020,1,Fri 21 Feb 15:49:42 EST 2020,3,Fri Feb 21 20:50:16 UTC 2020,2,Fri 21 Feb 2020 03:49:22 PM EST
3177,root,,8,Fri 21 Feb 16:04:26 EST 2020,1,Fri 21 Feb 16:04:43 EST 2020,1,Fri 21 Feb 16:04:15 EST 2020,8,Fri 21 Feb 16:04:52 EST 2020,4,Fri 21 Feb 16:04:51 EST 2020,9,Fri 21 Feb 16:05:00 EST 2020,1,Fri 21 Feb 16:04:02 EST 2020,4,Fri 21 Feb 16:04:33 EST 2020,8,Fri 21 Feb 16:04:39 EST 2020
3184,root,,1,Fri 21 Feb 16:23:36 EST 2020,2,Fri 21 Feb 2020 04:24:00 PM EST,1,Fri 21 Feb 16:24:03 EST 2020,2,Fri 21 Feb 2020 04:24:12 PM EST,10,Fri 21 Feb 16:24:11 EST 2020,8,Fri 21 Feb 16:24:04 EST 2020,1,Fri 21 Feb 16:23:51 EST 2020,3,Fri Feb 21 21:24:19 UTC 2020,2,Fri 21 Feb 2020 04:23:47 PM EST
