pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3211,root,,7,Sat 22 Feb 09:44:01 EST 2020,1,Sat 22 Feb 09:44:25 EST 2020,5,Sat 22 Feb 08:38:49 EST 2020,1,Sat 22 Feb 09:44:38 EST 2020,3,Sat Feb 22 14:44:36 UTC 2020,1,Sat 22 Feb 09:43:40 EST 2020,2,Sat 22 Feb 2020 09:44:55 AM EST,10,Sat 22 Feb 09:44:58 EST 2020,1,Sat 22 Feb 09:44:12 EST 2020
3236,root,,5,Sat 22 Feb 09:51:47 EST 2020,1,Sat 22 Feb 10:57:33 EST 2020,3,Sat Feb 22 15:58:06 UTC 2020,1,Sat 22 Feb 10:57:45 EST 2020,10,Sat 22 Feb 10:58:00 EST 2020,1,Sat 22 Feb 10:58:23 EST 2020,9,Sat 22 Feb 10:57:59 EST 2020,10,Sat 22 Feb 10:57:40 EST 2020,1,Sat 22 Feb 10:57:20 EST 2020
3223,root,,9,Sat 22 Feb 10:20:12 EST 2020,6,Sat 22 Feb 10:20:02 EST 2020,1,Sat 22 Feb 10:20:35 EST 2020,6,Sat 22 Feb 10:20:14 EST 2020,1,Sat 22 Feb 10:19:29 EST 2020,1,Sat 22 Feb 10:19:43 EST 2020,1,Sat 22 Feb 10:20:23 EST 2020,1,Sat 22 Feb 10:19:59 EST 2020,6,Sat 22 Feb 10:19:49 EST 2020
3216,root,,7,Sat 22 Feb 09:59:12 EST 2020,1,Sat 22 Feb 09:58:52 EST 2020,10,Sat 22 Feb 09:59:26 EST 2020,1,Sat 22 Feb 09:59:04 EST 2020,3,Sat Feb 22 14:59:05 UTC 2020,1,Sat 22 Feb 09:58:20 EST 2020,5,Sat 22 Feb 08:53:08 EST 2020,7,Sat 22 Feb 09:58:39 EST 2020,1,Sat 22 Feb 09:58:39 EST 2020
3219,root,,6,Sat 22 Feb 10:07:45 EST 2020,7,Sat 22 Feb 10:08:33 EST 2020,9,Sat 22 Feb 10:08:27 EST 2020,6,Sat 22 Feb 10:08:41 EST 2020,1,Sat 22 Feb 10:07:25 EST 2020,9,Sat 22 Feb 10:08:01 EST 2020,1,Sat 22 Feb 10:08:26 EST 2020,1,Sat 22 Feb 10:07:49 EST 2020,6,Sat 22 Feb 10:08:28 EST 2020
3221,root,,10,Sat 22 Feb 10:14:00 EST 2020,7,Sat 22 Feb 10:13:57 EST 2020,1,Sat 22 Feb 10:13:54 EST 2020,6,Sat 22 Feb 10:14:04 EST 2020,7,Sat 22 Feb 10:13:41 EST 2020,1,Sat 22 Feb 10:13:24 EST 2020,1,Sat 22 Feb 10:13:41 EST 2020,1,Sat 22 Feb 10:14:12 EST 2020,6,Sat 22 Feb 10:13:51 EST 2020
3200,root,,10,Sat 22 Feb 09:11:01 EST 2020,1,Sat 22 Feb 09:10:13 EST 2020,8,Sat 22 Feb 09:10:26 EST 2020,1,Sat 22 Feb 09:10:26 EST 2020,3,Sat Feb 22 14:10:27 UTC 2020,4,Sat 22 Feb 09:10:48 EST 2020,10,Sat 22 Feb 09:10:16 EST 2020,10,Sat 22 Feb 09:10:44 EST 2020,1,Sat 22 Feb 09:10:00 EST 2020
3218,root,,6,Sat 22 Feb 10:04:38 EST 2020,6,Sat 22 Feb 10:05:13 EST 2020,10,Sat 22 Feb 10:05:24 EST 2020,7,Sat 22 Feb 10:05:14 EST 2020,1,Sat 22 Feb 10:04:15 EST 2020,9,Sat 22 Feb 10:05:03 EST 2020,10,Sat 22 Feb 10:05:12 EST 2020,1,Sat 22 Feb 10:04:42 EST 2020,6,Sat 22 Feb 10:05:00 EST 2020
3206,root,,10,Sat 22 Feb 09:29:48 EST 2020,1,Sat 22 Feb 09:29:07 EST 2020,10,Sat 22 Feb 09:29:16 EST 2020,1,Sat 22 Feb 09:29:19 EST 2020,9,Sat 22 Feb 09:29:01 EST 2020,1,Sat 22 Feb 09:28:41 EST 2020,10,Sat 22 Feb 09:29:03 EST 2020,7,Sat 22 Feb 09:28:52 EST 2020,1,Sat 22 Feb 09:28:54 EST 2020
3235,root,,1,Sat 22 Feb 10:54:42 EST 2020,6,Sat 22 Feb 10:55:29 EST 2020,1,Sat 22 Feb 10:54:59 EST 2020,8,Sat 22 Feb 10:55:35 EST 2020,7,Sat 22 Feb 10:54:47 EST 2020,1,Sat 22 Feb 10:54:27 EST 2020,2,Sat 22 Feb 2020 10:54:52 AM EST,7,Sat 22 Feb 10:55:12 EST 2020,8,Sat 22 Feb 10:55:22 EST 2020
3224,root,,8,Sat 22 Feb 10:23:28 EST 2020,10,Sat 22 Feb 10:23:23 EST 2020,9,Sat 22 Feb 10:23:02 EST 2020,7,Sat 22 Feb 10:23:26 EST 2020,1,Sat 22 Feb 10:23:09 EST 2020,1,Sat 22 Feb 10:22:55 EST 2020,9,Sat 22 Feb 10:22:49 EST 2020,1,Sat 22 Feb 10:22:34 EST 2020,7,Sat 22 Feb 10:23:12 EST 2020
3222,root,,7,Sat 22 Feb 10:17:30 EST 2020,6,Sat 22 Feb 10:17:01 EST 2020,1,Sat 22 Feb 10:17:12 EST 2020,9,Sat 22 Feb 10:17:03 EST 2020,1,Sat 22 Feb 10:16:47 EST 2020,1,Sat 22 Feb 10:16:18 EST 2020,7,Sat 22 Feb 10:17:03 EST 2020,7,Sat 22 Feb 10:16:37 EST 2020,9,Sat 22 Feb 10:16:50 EST 2020
