pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3352,root,,1,Sat 22 Feb 16:42:36 EST 2020,4,Sat 22 Feb 16:42:48 EST 2020,7,Sat 22 Feb 16:42:24 EST 2020,4,Sat 22 Feb 16:43:01 EST 2020,8,Sat 22 Feb 16:42:34 EST 2020,1,Sat 22 Feb 16:41:50 EST 2020,7,Sat 22 Feb 16:42:12 EST 2020,1,Sat 22 Feb 16:42:56 EST 2020,4,Sat 22 Feb 16:42:36 EST 2020
3241,root,,1,Sat 22 Feb 11:12:50 EST 2020,1,Sat 22 Feb 11:12:24 EST 2020,10,Sat 22 Feb 11:12:34 EST 2020,1,Sat 22 Feb 11:12:37 EST 2020,8,Sat 22 Feb 11:12:41 EST 2020,5,Sat 22 Feb 10:06:45 EST 2020,10,Sat 22 Feb 11:12:21 EST 2020,4,Sat 22 Feb 11:12:55 EST 2020,1,Sat 22 Feb 11:12:11 EST 2020
3269,root,,8,Sat 22 Feb 12:35:49 EST 2020,4,Sat 22 Feb 12:35:42 EST 2020,6,Sat 22 Feb 12:35:31 EST 2020,1,Sat 22 Feb 12:35:43 EST 2020,1,Sat 22 Feb 12:35:02 EST 2020,6,Sat 22 Feb 12:35:54 EST 2020,6,Sat 22 Feb 12:35:19 EST 2020,4,Sat 22 Feb 12:36:00 EST 2020,1,Sat 22 Feb 12:35:30 EST 2020
3304,root,,1,Sat 22 Feb 14:18:51 EST 2020,6,Sat 22 Feb 14:19:03 EST 2020,2,Sat 22 Feb 2020 02:19:15 PM EST,6,Sat 22 Feb 14:19:15 EST 2020,1,Sat 22 Feb 14:18:37 EST 2020,1,Sat 22 Feb 14:19:30 EST 2020,2,Sat 22 Feb 2020 02:19:02 PM EST,1,Sat 22 Feb 14:19:08 EST 2020,6,Sat 22 Feb 14:18:50 EST 2020
3299,root,,3,Sat Feb 22 19:04:29 UTC 2020,10,Sat 22 Feb 14:03:49 EST 2020,5,Sat 22 Feb 12:58:15 EST 2020,1,Sat 22 Feb 14:03:52 EST 2020,4,Sat 22 Feb 14:04:34 EST 2020,1,Sat 22 Feb 14:04:33 EST 2020,10,Sat 22 Feb 14:04:19 EST 2020,3,Sat Feb 22 19:04:02 UTC 2020,1,Sat 22 Feb 14:03:39 EST 2020
3266,root,,10,Sat 22 Feb 12:26:37 EST 2020,1,Sat 22 Feb 12:26:07 EST 2020,1,Sat 22 Feb 12:26:30 EST 2020,9,Sat 22 Feb 12:26:09 EST 2020,7,Sat 22 Feb 12:25:53 EST 2020,1,Sat 22 Feb 12:25:40 EST 2020,10,Sat 22 Feb 12:26:21 EST 2020,1,Sat 22 Feb 12:25:24 EST 2020,1,Sat 22 Feb 12:25:54 EST 2020
3272,root,,1,Sat 22 Feb 12:43:56 EST 2020,7,Sat 22 Feb 12:44:33 EST 2020,2,Sat 22 Feb 2020 12:44:23 PM EST,1,Sat 22 Feb 12:44:36 EST 2020,8,Sat 22 Feb 12:44:22 EST 2020,1,Sat 22 Feb 12:43:43 EST 2020,2,Sat 22 Feb 2020 12:44:10 PM EST,8,Sat 22 Feb 12:44:41 EST 2020,7,Sat 22 Feb 12:44:20 EST 2020
3267,root,,1,Sat 22 Feb 12:29:06 EST 2020,1,Sat 22 Feb 12:30:16 EST 2020,1,Sat 22 Feb 12:29:56 EST 2020,4,Sat 22 Feb 12:30:24 EST 2020,1,Sat 22 Feb 12:29:41 EST 2020,1,Sat 22 Feb 12:29:25 EST 2020,2,Sat 22 Feb 2020 12:29:48 PM EST,2,Sat 22 Feb 2020 12:29:22 PM EST,4,Sat 22 Feb 12:30:10 EST 2020
3301,root,,1,Sat 22 Feb 14:09:51 EST 2020,1,Sat 22 Feb 14:10:26 EST 2020,9,Sat 22 Feb 14:10:35 EST 2020,8,Sat 22 Feb 14:10:35 EST 2020,5,Sat 22 Feb 13:04:43 EST 2020,10,Sat 22 Feb 14:10:25 EST 2020,9,Sat 22 Feb 14:10:22 EST 2020,2,Sat 22 Feb 2020 02:10:09 PM EST,1,Sat 22 Feb 14:10:14 EST 2020
3295,root,,9,Sat 22 Feb 13:51:33 EST 2020,7,Sat 22 Feb 13:52:07 EST 2020,2,Sat 22 Feb 2020 01:52:05 PM EST,7,Sat 22 Feb 13:52:19 EST 2020,3,Sat Feb 22 18:52:30 UTC 2020,1,Sat 22 Feb 13:51:45 EST 2020,1,Sat 22 Feb 13:52:00 EST 2020,1,Sat 22 Feb 13:51:13 EST 2020,7,Sat 22 Feb 13:51:54 EST 2020
